20:06:29:940 (00007264) > [Startup] Shadow of the Tomb Raider
20:06:29:940 (00007264) > [Startup] ==============
20:06:29:940 (00007264) > [Startup] 
20:06:29:940 (00007264) > [Startup] Build: v1.0 build 458.0_64
20:06:29:940 (00007264) > [Startup] Windows 10.0 (build 22000)
20:06:29:940 (00007264) > [Startup] Game directory: C:\Users\admin\Documents\Shadow of the Tomb Raider\
20:06:29:940 (00007264) > [Startup] 
20:06:29:940 (00007264) > [Startup] Memory statistics:
20:06:29:940 (00007264) > [Startup]   Total RAM = 15.7 GB (16061 MB)
20:06:29:940 (00007264) > [Startup]   Avail RAM = 10.3 GB (10570 MB)
20:06:29:940 (00007264) > [Startup]   Total virtual memory = 131072.0 GB (134217727 MB)
20:06:29:940 (00007264) > [Startup]   Avail virtual memory = 131064.8 GB (134210300 MB)
20:06:29:940 (00007264) > [Startup] 
20:06:29:940 (00007264) > [NxApp] PreInit
20:06:29:940 (00007264) > [Epic] Initializing Epic SDK.
20:06:29:952 (00007264) > [Epic] Initialized. Setting Logging Callback ...
20:06:29:952 (00007264) > [Epic] Logging Callback Set
20:06:29:952 (00007264) > [Epic] Creating platform.
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Overlay library loaded, version ++EOSSDK+Release-Overlay-CL-21323361
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Beginning dxgi factory detour
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Factory detour complete
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Beginning swap chain detour
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Attempting to create swap chain using D3D11
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Successfully created swap chain using D3D11 with feature level b000
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Swapchain detour complete
20:06:30:265 (00007264) > [Epic] LogEOSOverlay: Overlay loaded and initialized
20:06:30:278 (00007264) > [Epic] LogEOSAntiCheat: [AntiCheatClient] Anti-cheat client not available. Verify that the game was started with the correct launcher if you intend to use it.
20:06:30:279 (00007264) > [Epic] Platform created.
20:06:30:279 (00007264) > [SwapChain] Initializing...
20:06:30:279 (00007264) > [DXGI] Initializing...
20:06:30:279 (00007264) > [DXGI] Created DXGIFactory1
20:06:30:279 (00007264) > [DXGI] Successfully initialized.
20:06:30:279 (00007264) > [Render] Enumerating adapters:
20:06:30:279 (00007264) > [Render] 	Adapter 0:
20:06:30:279 (00007264) > [Monitor] 		Description             : NVIDIA GeForce RTX 3060
20:06:30:279 (00007264) > [Monitor] 		Vendor                  : nVidia (10de)
20:06:30:279 (00007264) > [Monitor] 		Device                  : 2503
20:06:30:279 (00007264) > [Monitor] 		Sub system              : 140a7377
20:06:30:279 (00007264) > [Monitor] 		Revision                : 161
20:06:30:279 (00007264) > [Monitor] 		Dedicated Video Memory  : 12142 MB
20:06:30:279 (00007264) > [Monitor] 		Dedicated System Memory : 0000 MB
20:06:30:279 (00007264) > [Monitor] 		Shared System Memory    : 8030 MB
20:06:30:279 (00007264) > [Monitor] 
20:06:30:279 (00007264) > [Render] Loading NVAPI...
20:06:30:280 (00007264) > [Render] Done loading NVAPI
20:06:30:280 (00007264) > [Render] 	Adapter 1:
20:06:30:280 (00007264) > [Monitor] 		Description             : Microsoft Basic Render Driver
20:06:30:280 (00007264) > [Monitor] 		Vendor                  : Unknown (1414)
20:06:30:280 (00007264) > [Monitor] 		Device                  : 8c
20:06:30:280 (00007264) > [Monitor] 		Sub system              : 0
20:06:30:280 (00007264) > [Monitor] 		Revision                : 0
20:06:30:280 (00007264) > [Monitor] 		Dedicated Video Memory  : 0000 MB
20:06:30:280 (00007264) > [Monitor] 		Dedicated System Memory : 0000 MB
20:06:30:280 (00007264) > [Monitor] 		Shared System Memory    : 8030 MB
20:06:30:280 (00007264) > [Monitor] 
20:06:30:280 (00007264) > [Render] Enumerating monitors:
20:06:30:280 (00007264) > [Render] 	Monitor 0: handle = 0000000000010001, aspect = 1.78
20:06:30:280 (00007264) > [Render] 
20:06:30:448 (00007264) > [Render] NVidia 3D Vision is not enabled.
20:06:30:448 (00007264) > [Render] Enumerating Display Modes:
20:06:30:449 (00007264) > [Render] Querying NVAPI for Surround modes
20:06:30:753 (00007264) > [Render] NvAPI_Mosaic_GetDisplayViewportsByResolution() - no surround modes detected
20:06:31:549 (00007264) > [NxDLSS] DLSS support test, code = 0x00000001, info: NVSDK_NGX_Result_Success
20:06:32:382 (00007264) > [Render] 	Monitor '1 (NVIDIA GeForce RTX 3060(1))' (0000000000010001):
20:06:32:382 (00007264) > [Render] 		- Mode  0 :  800 x  600 @  56 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  1 :  800 x  600 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  2 :  800 x  600 @  72 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  3 :  800 x  600 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  4 :  800 x  600 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  5 :  800 x  600 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  6 :  800 x  600 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  7 :  800 x  600 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  8 :  800 x  600 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode  9 :  800 x  600 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 10 : 1024 x  768 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 11 : 1024 x  768 @  70 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 12 : 1024 x  768 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 13 : 1024 x  768 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 14 : 1024 x  768 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 15 : 1024 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 16 : 1024 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 17 : 1024 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 18 : 1024 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 19 : 1152 x  864 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 20 : 1152 x  864 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 21 : 1152 x  864 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 22 : 1152 x  864 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 23 : 1152 x  864 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 24 : 1152 x  864 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 25 : 1152 x  864 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 26 : 1152 x  864 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 27 : 1152 x  864 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 28 : 1152 x  864 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 29 : 1176 x  664 @  50 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 30 : 1176 x  664 @  50 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 31 : 1176 x  664 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 32 : 1176 x  664 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 33 : 1176 x  664 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 34 : 1176 x  664 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 35 : 1280 x  720 @  50 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 36 : 1280 x  720 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 37 : 1280 x  720 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 38 : 1280 x  720 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 39 : 1280 x  720 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 40 : 1280 x  720 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 41 : 1280 x  720 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 42 : 1280 x  720 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 43 : 1280 x  720 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 44 : 1280 x  768 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 45 : 1280 x  768 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 46 : 1280 x  768 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 47 : 1280 x  768 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 48 : 1280 x  768 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 49 : 1280 x  768 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 50 : 1280 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 51 : 1280 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 52 : 1280 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 53 : 1280 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 54 : 1280 x  800 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 55 : 1280 x  800 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 56 : 1280 x  800 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 57 : 1280 x  800 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 58 : 1280 x  800 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 59 : 1280 x  800 @ 119 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 60 : 1280 x  800 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 61 : 1280 x  800 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 62 : 1280 x  800 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 63 : 1280 x  800 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 64 : 1280 x  960 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 65 : 1280 x  960 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 66 : 1280 x  960 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 67 : 1280 x  960 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 68 : 1280 x  960 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 69 : 1280 x  960 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 70 : 1280 x  960 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 71 : 1280 x  960 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 72 : 1280 x 1024 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 73 : 1280 x 1024 @  75 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 74 : 1280 x 1024 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 75 : 1280 x 1024 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 76 : 1280 x 1024 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 77 : 1360 x  768 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 78 : 1360 x  768 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 79 : 1360 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 80 : 1360 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 81 : 1360 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 82 : 1360 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 83 : 1366 x  768 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 84 : 1366 x  768 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 85 : 1366 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 86 : 1366 x  768 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 87 : 1366 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 88 : 1366 x  768 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 89 : 1440 x  900 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 90 : 1440 x  900 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 91 : 1440 x  900 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 92 : 1440 x  900 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 93 : 1600 x  900 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 94 : 1600 x  900 @  60 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 95 : 1600 x  900 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 96 : 1600 x  900 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 97 : 1600 x  900 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 98 : 1600 x  900 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:382 (00007264) > [Render] 		- Mode 99 : 1600 x 1024 @  60 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 100 : 1600 x 1024 @  60 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 101 : 1600 x 1024 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 102 : 1600 x 1024 @ 120 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 103 : 1600 x 1024 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 104 : 1600 x 1024 @ 144 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 105 : 1600 x 1200 @  60 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 106 : 1600 x 1200 @  60 Hz, stereo = 0, hdr = 0
20:06:32:383 (00007264) > [Render] 		- Mode 107 : 1600 x 1200 @ 120 Hz, stereo = 0, hdr = 0
